Gene Name	fr	rf	star
AKAP9	149	149	105
AKIP1	8	8	8
AKIRIN1	176	176	194
AKIRIN1P1	0	0	0
AKIRIN1P2	3	3	0
AKIRIN2	167	167	167
AKIRIN2P1	0	0	0
AKNA	121	121	122
AKNAD1	0	0	2
AKR1A1	21	21	27
AKR1B1	29	29	37
AKR1B10	0	0	0
AKR1B10P1	0	0	0
AKR1B10P2	0	0	0
AKR1B15	2	2	16
AKR1B1P1	0	0	0
AKR1B1P2	0	0	1
AKR1B1P3	0	0	0
AKR1B1P4	1	1	1
AKR1B1P5	0	0	0
AKR1B1P6	0	0	0
AKR1B1P7	0	0	0
AKR1B1P8	0	0	0
AKR1C1	11	11	8
AKR1C2	0	0	0
AKR1C3	55	55	54
AKR1C4	1	1	1
AKR1C6P	0	0	5
AKR1C7P	2	2	3
AKR1C8	0	0	0
AKR1D1	0	0	1
AKR1D1P1	4	4	2320
AKR1E2	0	0	0
AKR7A2	0	0	0
AKR7A2P1	0	0	0
AKR7A2P2	0	0	0
AKR7A3	0	0	0
AKR7L	1	1	2
AKT1	12	12	12
AKT1S1	14	14	14
AKT2	81	81	85
AKT3	71	67	104
AKT3-IT1	0	0	0
AKTIP	16	16	16
ALAD	277	277	278
ALAS1	51	51	51
ALAS2	6692	6693	6743
ALB	283	283	275
ALCAM	31	31	34
ALDH16A1	0	0	0
ALDH18A1	1	1	63
ALDH1A1	37	37	39
ALDH1A2	24	24	90
ALDH1A2-AS1	4	4	11
ALDH1A3	0	0	0
ALDH1A3-AS1	0	0	2
ALDH1B1	0	0	0
ALDH1L1	0	0	0
ALDH1L1-AS1	0	0	0
ALDH1L1-AS2	2	2	11
ALDH1L2	2	2	0
ALDH2	14	14	17
ALDH3A1	0	0	0
ALDH3A2	6	6	6
ALDH3B1	58	58	32
ALDH3B2	0	0	0
ALDH4A1	4	4	23
ALDH5A1	72	72	66
ALDH6A1	14	15	16
ALDH7A1	50	50	375
ALDH7A1P1	3	3	0
ALDH7A1P2	0	0	0
ALDH7A1P3	0	0	0
ALDH7A1P4	0	0	0
ALDH8A1	5	5	5
ALDH9A1	67	67	54
ALDOA	40	40	386
ALDOAP1	1	1	0
ALDOAP2	0	0	0
ALDOB	8	8	15
ALDOC	11	11	11
ALG1	0	0	0
ALG10	0	0	0
ALG10B	0	0	0
ALG11	157	157	167
ALG12	0	0	0
ALG13	24	24	24
ALG14	0	0	0
ALG14-AS1	2	2	0
ALG1L	1	1	5
ALG1L10P	1	1	1
ALG1L11P	1	1	0
ALG1L12P	1	1	0
ALG1L13P	0	0	0
ALG1L15P	0	0	0
ALG1L2	0	0	0
ALG1L3P	1	1	6
ALG1L5P	0	0	0
ALG1L6P	1	1	0
ALG1L7P	10	10	193
ALG1L8P	0	0	1
ALG1L9P	1	1	0
ALG2	64	64	64
ALG3	1	1	0
ALG3P1	0	0	0
ALG5	26	26	27
ALG6	4	4	12
ALG8	0	0	0
ALG9	0	0	0
ALK	0	0	0
ALKAL1	0	0	1
ALKAL2	0	0	0
ALKBH1	6	6	6
ALKBH2	0	0	0
ALKBH3	6	6	10
ALKBH3-AS1	2	2	2
ALKBH4	13	13	14
ALKBH5	139	139	160
ALKBH6	0	0	0
ALKBH7	20	20	22
ALKBH8	25	25	110
ALLC	0	0	0
ALMS1	34	34	0
ALMS1-IT1	1	1	0
