Gene Name	fr	rf	star
AGT	3	3	2
AGTPBP1	280	280	251
AGTR1	1	1	1
AGTR2	0	0	0
AGTRAP	0	0	0
AGXT	3	3	1
AGXT2	0	0	0
AHCTF1	71	71	72
AHCTF1P1	8	9	10
AHCY	8	8	8
AHCYL1	82	81	83
AHCYL2	6	6	6
AHCYP1	0	0	0
AHCYP2	0	0	0
AHCYP3	0	0	0
AHCYP4	0	0	0
AHCYP5	0	0	0
AHCYP6	0	0	1
AHCYP7	0	0	0
AHCYP8	0	0	0
AHDC1	27	27	30
AHI1	27	27	28
AHI1-DT	2	3	3
AHNAK	651	655	637
AHNAK2	27	25	27
AHR	98	97	98
AHRR	24	27	9
AHSA1	12	12	11
AHSA2P	14	13	122
AHSG	0	0	0
AHSP	274	274	276
AICDA	6	6	6
AIDA	234	310	220
AIDAP1	29	2	0
AIDAP2	5	0	0
AIDAP3	0	0	0
AIF1	0	0	258
AIF1L	181	181	159
AIFM1	50	51	51
AIFM1P1	0	0	1
AIFM2	0	0	1
AIFM3	2	2	7
AIG1	123	123	75
AIG1P1	0	0	0
AIM2	2	2	3
AIMP1	41	41	31
AIMP1P1	2	2	0
AIMP1P2	0	0	0
AIMP2	0	0	0
AIP	29	29	30
AIPL1	1	0	4
AIRE	0	0	2
AIRN	0	0	1
AJAP1	0	0	0
AJM1	2	2	1
AJUBA	0	0	2
AK1	1	1	1
AK2	105	103	101
AK2P1	3	3	0
AK2P2	0	0	0
AK3	30	30	24
AK3P2	0	0	0
AK3P3	0	0	0
AK3P4	0	0	0
AK3P5	0	0	0
AK3P6	0	0	0
AK4	3	3	3
AK4P1	0	0	0
AK4P2	0	0	0
AK4P3	0	0	0
AK4P4	0	0	0
AK4P5	0	0	0
AK4P6	0	0	0
AK5	0	0	0
AK6	8	10	47
AK7	0	0	0
AK8	0	0	0
AK9	52	52	54
AKAIN1	0	0	0
AKAP1	0	0	0
AKAP10	77	77	91
AKAP11	29	29	30
AKAP12	76	76	80
AKAP13	80	84	97
AKAP14	1	2	1
AKAP17A	6	6	0
AKAP17A_1	5	5	0
AKAP17BP	1	1	0
AKAP3	2	1	4
AKAP4	1	1	1
AKAP5	14	14	14
AKAP6	0	0	0
AKAP7	96	96	99
AKAP8	8	8	9
AKAP8L	4	4	5
AKAP8P1	0	0	0
AKAP9	47	55	51
AKIP1	0	0	0
AKIRIN1	95	95	99
AKIRIN1P1	0	0	0
AKIRIN1P2	2	2	0
AKIRIN2	153	154	177
AKIRIN2P1	0	0	0
AKNA	71	71	69
AKNAD1	2	2	0
AKR1A1	8	8	8
AKR1B1	24	24	77
AKR1B10	0	0	0
AKR1B10P1	0	0	0
AKR1B10P2	0	0	0
AKR1B15	1	1	1
AKR1B1P1	1	1	0
AKR1B1P2	0	0	0
AKR1B1P3	1	1	0
AKR1B1P4	1	1	0
AKR1B1P5	0	0	0
AKR1B1P6	0	0	0
AKR1B1P7	0	0	0
AKR1B1P8	0	0	0
AKR1C1	21	18	19
AKR1C2	7	9	7
AKR1C3	21	21	44
AKR1C4	1	2	0
AKR1C6P	1	0	3
AKR1C7P	0	0	1
AKR1C8	0	0	0
AKR1D1	9	9	9
AKR1D1P1	222	223	530
AKR1E2	0	0	0
AKR7A2	8	8	8
AKR7A2P1	0	0	0
AKR7A2P2	0	0	0
AKR7A3	0	0	0
AKR7L	0	0	0
AKT1	69	69	70
AKT1S1	40	40	40
AKT2	10	10	10
AKT3	91	91	146
AKT3-IT1	1	1	0
AKTIP	11	8	8
ALAD	35	35	35
ALAS1	7	7	7
ALAS2	814	813	799
ALB	1578	1578	1585
ALCAM	32	32	30
ALDH16A1	14	14	14
ALDH18A1	1	2	0
ALDH1A1	30	30	25
ALDH1A2	6	6	8
ALDH1A2-AS1	1	1	0
ALDH1A3	3	3	4
ALDH1A3-AS1	0	0	5
ALDH1B1	0	0	0
ALDH1L1	0	0	0
ALDH1L1-AS1	0	0	0
ALDH1L1-AS2	1	1	1
ALDH1L2	0	0	0
ALDH2	105	104	94
ALDH3A1	0	0	0
ALDH3A2	41	41	43
ALDH3B1	3	3	2
ALDH3B2	0	0	0
ALDH4A1	1	1	4
ALDH5A1	46	46	61
ALDH6A1	6	6	7
ALDH7A1	33	33	37
ALDH7A1P1	0	0	0
ALDH7A1P2	0	0	0
ALDH7A1P3	0	0	0
ALDH7A1P4	0	0	0
ALDH8A1	0	0	0
ALDH9A1	89	89	79
ALDOA	61	61	39
ALDOAP1	0	0	0
ALDOAP2	0	0	0
ALDOB	49	48	57
ALDOC	0	0	0
ALG1	0	0	0
ALG10	0	0	0
ALG10B	7	7	0
