,Gene Name,SGI75460067_x,SGI75460067_y,SGI75460068,SGI75460075,SGI75460076,SGI75460103,SGI75460104
184,ACBD7-DCLRE1CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,ACCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,ACCSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,ACD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,ACE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,ACE2,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227
190,ACE3P,0.000779,0.000779,0.000779,0.000779,0.000779,0.000779,0.000779
191,ACER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,ACER2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,ACER2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,ACER3,0.052885,0.052885,0.052885,0.052885,0.052885,0.052885,0.052885
195,ACHE,0.004165,0.004165,0.004165,0.004165,0.004165,0.004165,0.004165
196,ACIN1,0.33277,0.33277,0.33277,0.33277,0.33277,0.33277,0.33277
197,ACKR1,0.879509,0.879509,0.879509,0.879509,0.879509,0.879509,0.879509
198,ACKR2,0.000113,0.000113,0.000113,0.000113,0.000113,0.000113,0.000113
199,ACKR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,ACKR4,0.022267,0.022267,0.022267,0.022267,0.022267,0.022267,0.022267
201,ACKR4P1,0.030073,0.030073,0.030073,0.030073,0.030073,0.030073,0.030073
202,ACLY,0.174678,0.174678,0.174678,0.174678,0.174678,0.174678,0.174678
203,ACMSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,ACNATP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,ACO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,ACO2,0.002267,0.002267,0.002267,0.002267,0.002267,0.002267,0.002267
207,ACOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,ACOT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,ACOT11,0.002253,0.002253,0.002253,0.002253,0.002253,0.002253,0.002253
210,ACOT12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,ACOT13,0.113842,0.113842,0.113842,0.113842,0.113842,0.113842,0.113842
212,ACOT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,ACOT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,ACOT6,0.001449,0.001449,0.001449,0.001449,0.001449,0.001449,0.001449
215,ACOT7,0.083586,0.083586,0.083586,0.083586,0.083586,0.083586,0.083586
216,ACOT8,0.682238,0.682238,0.682238,0.682238,0.682238,0.682238,0.682238
217,ACOT9,0.037436,0.037436,0.037436,0.037436,0.037436,0.037436,0.037436
218,ACOX1,0.151952,0.151952,0.151952,0.151952,0.151952,0.151952,0.151952
219,ACOX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,ACOX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,ACOXL,0.046351,0.046351,0.046351,0.046351,0.046351,0.046351,0.046351
222,ACOXL-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,ACP1,1.873695,1.873695,1.873695,1.873695,1.873695,1.873695,1.873695
224,ACP2,0.285001,0.285001,0.285001,0.285001,0.285001,0.285001,0.285001
225,ACP3,0.105089,0.105089,0.105089,0.105089,0.105089,0.105089,0.105089
226,ACP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,ACP5,0.031439,0.031439,0.031439,0.031439,0.031439,0.031439,0.031439
228,ACP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,ACP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,ACR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,ACRBP,0.128588,0.128588,0.128588,0.128588,0.128588,0.128588,0.128588
232,ACRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,ACRV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,ACSBG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,ACSBG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,ACSF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,ACSF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,ACSL1,0.462273,0.462273,0.462273,0.462273,0.462273,0.462273,0.462273
239,ACSL3,0.002985,0.002985,0.002985,0.002985,0.002985,0.002985,0.002985
240,ACSL4,0.198225,0.198225,0.198225,0.198225,0.198225,0.198225,0.198225
241,ACSL5,0.004426,0.004426,0.004426,0.004426,0.004426,0.004426,0.004426
242,ACSL6,0.009074,0.009074,0.009074,0.009074,0.009074,0.009074,0.009074
243,ACSM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,ACSM2A,0.033745,0.033745,0.033745,0.033745,0.033745,0.033745,0.033745
245,ACSM2B,0.022526,0.022526,0.022526,0.022526,0.022526,0.022526,0.022526
246,ACSM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
