Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
pseudo	LOC124901857	SGI75460104	26452	LOC124901857	1	0.043862063460072	LOC124901857	1	0.0563333596410122
pseudo	LOC124901861	SGI75460104	26448	LOC124901861	0	0.0	LOC124901861	0	0.0
pseudo	LOC124901862	SGI75460104	26447	LOC124901862	0	0.0	LOC124901862	0	0.0
pseudo	LOC124902086	SGI75460104	26435	LOC124902086	1	0.043862063460072	LOC124902086	0	0.0
pseudo	LOC124902092	SGI75460104	26429	LOC124902092	0	0.0	LOC124902092	0	0.0
pseudo	LOC124902093	SGI75460104	26428	LOC124902093	0	0.0	LOC124902093	0	0.0
pseudo	LOC124902096	SGI75460104	26425	LOC124902096	0	0.0	LOC124902096	0	0.0
pseudo	LOC124902097	SGI75460104	26424	LOC124902097	0	0.0	LOC124902097	0	0.0
pseudo	LOC124902098	SGI75460104	26423	LOC124902098	0	0.0	LOC124902098	0	0.0
pseudo	LOC124902099	SGI75460104	26422	LOC124902099	0	0.0	LOC124902099	0	0.0
pseudo	LOC124902102	SGI75460104	26419	LOC124902102	0	0.0	LOC124902102	0	0.0
pseudo	LOC124902103	SGI75460104	26418	LOC124902103	0	0.0	LOC124902103	0	0.0
pseudo	LOC124902104	SGI75460104	26417	LOC124902104	1	0.043862063460072	LOC124902104	0	0.0
pseudo	LOC124902105	SGI75460104	26416	LOC124902105	0	0.0	LOC124902105	0	0.0
pseudo	LOC124902332	SGI75460104	26414	LOC124902332	0	0.0	LOC124902332	0	0.0
pseudo	LOC124902334	SGI75460104	26412	LOC124902334	0	0.0	LOC124902334	0	0.0
pseudo	LOC124902336	SGI75460104	26410	LOC124902336	0	0.0	LOC124902336	0	0.0
pseudo	LOC124902337	SGI75460104	26409	LOC124902337	2	0.087724126920144	LOC124902337	2	0.1126667192820245
pseudo	LOC124902350	SGI75460104	26396	LOC124902350	0	0.0	LOC124902350	0	0.0
pseudo	LOC124902351	SGI75460104	26395	LOC124902351	0	0.0	LOC124902351	0	0.0
pseudo	LOC124902354	SGI75460104	26392	LOC124902354	0	0.0	LOC124902354	0	0.0
pseudo	LOC124902355	SGI75460104	26391	LOC124902355	0	0.0	LOC124902355	1	0.0563333596410122
pseudo	LOC124902356	SGI75460104	26390	LOC124902356	1	0.043862063460072	LOC124902356	1	0.0563333596410122
pseudo	LOC124902357	SGI75460104	26389	LOC124902357	0	0.0	LOC124902357	0	0.0
pseudo	LOC124902358	SGI75460104	26388	LOC124902358	0	0.0	LOC124902358	0	0.0
pseudo	LOC124902359	SGI75460104	26387	LOC124902359	0	0.0	LOC124902359	0	0.0
pseudo	LOC124902567	SGI75460104	26386	LOC124902567	0	0.0	LOC124902567	0	0.0
pseudo	LOC124902568	SGI75460104	26385	LOC124902568	0	0.0	LOC124902568	0	0.0
pseudo	LOC124902569	SGI75460104	26384	LOC124902569	0	0.0	LOC124902569	0	0.0
pseudo	LOC124902570	SGI75460104	26383	LOC124902570	0	0.0	LOC124902570	0	0.0
pseudo	LOC124902571	SGI75460104	26382	LOC124902571	0	0.0	LOC124902571	0	0.0
pseudo	LOC124902590	SGI75460104	26363	LOC124902590	0	0.0	LOC124902590	0	0.0
pseudo	LOC124902591	SGI75460104	26362	LOC124902591	0	0.0	LOC124902591	0	0.0
pseudo	LOC124902592	SGI75460104	26361	LOC124902592	0	0.0	LOC124902592	0	0.0
pseudo	LOC124902593	SGI75460104	26360	LOC124902593	0	0.0	LOC124902593	0	0.0
pseudo	LOC124902594	SGI75460104	26359	LOC124902594	0	0.0	LOC124902594	0	0.0
pseudo	LOC124902597	SGI75460104	26356	LOC124902597	0	0.0	LOC124902597	0	0.0
pseudo	LOC124902598	SGI75460104	26355	LOC124902598	0	0.0	LOC124902598	0	0.0
pseudo	LOC124902599	SGI75460104	26354	LOC124902599	0	0.0	LOC124902599	0	0.0
pseudo	LOC124902600	SGI75460104	26353	LOC124902600	0	0.0	LOC124902600	0	0.0
pseudo	LOC124902815	SGI75460104	26352	LOC124902815	0	0.0	LOC124902815	0	0.0
pseudo	LOC124902816	SGI75460104	26351	LOC124902816	0	0.0	LOC124902816	0	0.0
pseudo	LOC124902817	SGI75460104	26350	LOC124902817	1	0.043862063460072	LOC124902817	1	0.0563333596410122
pseudo	LOC124902819	SGI75460104	26348	LOC124902819	0	0.0	LOC124902819	0	0.0
pseudo	LOC124902820	SGI75460104	26347	LOC124902820	0	0.0	LOC124902820	0	0.0
pseudo	LOC124902822	SGI75460104	26345	LOC124902822	0	0.0	LOC124902822	0	0.0
pseudo	LOC124902823	SGI75460104	26344	LOC124902823	0	0.0	LOC124902823	0	0.0
pseudo	LOC124902837	SGI75460104	26330	LOC124902837	0	0.0	LOC124902837	0	0.0
pseudo	LOC124902838	SGI75460104	26329	LOC124902838	0	0.0	LOC124902838	0	0.0
pseudo	LOC124902841	SGI75460104	26326	LOC124902841	0	0.0	LOC124902841	0	0.0
pseudo	LOC124902842	SGI75460104	26325	LOC124902842	0	0.0	LOC124902842	0	0.0
pseudo	LOC124902843	SGI75460104	26324	LOC124902843	0	0.0	LOC124902843	0	0.0
pseudo	LOC124902844	SGI75460104	26323	LOC124902844	0	0.0	LOC124902844	0	0.0
pseudo	LOC124902845	SGI75460104	26322	LOC124902845	0	0.0	LOC124902845	0	0.0
pseudo	LOC124902846	SGI75460104	26321	LOC124902846	0	0.0	LOC124902846	0	0.0
pseudo	LOC124902848	SGI75460104	26319	LOC124902848	0	0.0	LOC124902848	1	0.0563333596410122
pseudo	LOC124902849	SGI75460104	26318	LOC124902849	0	0.0	LOC124902849	0	0.0
pseudo	LOC124902850	SGI75460104	26317	LOC124902850	0	0.0	LOC124902850	2	0.1126667192820245
pseudo	LOC124902851	SGI75460104	26316	LOC124902851	58	2.543999680684178	LOC124902851	1	0.0563333596410122
pseudo	LOC124903092	SGI75460104	26314	LOC124903092	12	0.5263447615208644	LOC124903092	11	0.6196669560511351
pseudo	LOC124903093	SGI75460104	26313	LOC124903093	0	0.0	LOC124903093	0	0.0
pseudo	LOC124903095	SGI75460104	26311	LOC124903095	0	0.0	LOC124903095	0	0.0
pseudo	LOC124903109	SGI75460104	26297	LOC124903109	0	0.0	LOC124903109	0	0.0
pseudo	LOC124903112	SGI75460104	26294	LOC124903112	0	0.0	LOC124903112	0	0.0
pseudo	LOC124903115	SGI75460104	26291	LOC124903115	0	0.0	LOC124903115	0	0.0
pseudo	LOC124903117	SGI75460104	26289	LOC124903117	0	0.0	LOC124903117	0	0.0
pseudo	LOC124903118	SGI75460104	26288	LOC124903118	0	0.0	LOC124903118	0	0.0
pseudo	LOC124903121	SGI75460104	26285	LOC124903121	0	0.0	LOC124903121	4	0.2253334385640491
pseudo	LOC124903122	SGI75460104	26284	LOC124903122	0	0.0	LOC124903122	0	0.0
pseudo	LOC124903123	SGI75460104	26283	LOC124903123	0	0.0	LOC124903123	1	0.0563333596410122
pseudo	LOC124903124	SGI75460104	26282	LOC124903124	0	0.0	LOC124903124	0	0.0
pseudo	LOC124903125	SGI75460104	26281	LOC124903125	0	0.0	LOC124903125	0	0.0
pseudo	LOC124903126	SGI75460104	26280	LOC124903126	0	0.0	LOC124903126	0	0.0
pseudo	LOC124903127	SGI75460104	26279	LOC124903127	0	0.0	LOC124903127	0	0.0
pseudo	LOC124903254	SGI75460104	26278	LOC124903254	0	0.0	LOC124903254	0	0.0
pseudo	LOC124903271	SGI75460104	26261	LOC124903271	0	0.0	LOC124903271	0	0.0
pseudo	LOC124903272	SGI75460104	26260	LOC124903272	0	0.0	LOC124903272	0	0.0
