Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
miRNA	MIR3941	SGI75460104	23328	MIR3941	0	0.0	MIR3941	0	0.0
miRNA	MIR3942	SGI75460104	23327	MIR3942	0	0.0	MIR3942	0	0.0
miRNA	MIR3943	SGI75460104	23326	MIR3943	0	0.0	MIR3943	0	0.0
miRNA	MIR3944	SGI75460104	23325	MIR3944	0	0.0	MIR3944	0	0.0
miRNA	MIR3945	SGI75460104	23324	MIR3945	0	0.0	MIR3945	0	0.0
miRNA	MIR3960	SGI75460104	23322	MIR3960	0	0.0	MIR3960	0	0.0
miRNA	MIR3972	SGI75460104	23321	MIR3972	0	0.0	MIR3972	0	0.0
miRNA	MIR3973	SGI75460104	23320	MIR3973	0	0.0	MIR3973	0	0.0
miRNA	MIR3974	SGI75460104	23319	MIR3974	0	0.0	MIR3974	0	0.0
miRNA	MIR3975	SGI75460104	23318	MIR3975	0	0.0	MIR3975	0	0.0
miRNA	MIR3976	SGI75460104	23317	MIR3976	0	0.0	MIR3976	2	0.1126667192820245
miRNA	MIR3977	SGI75460104	23315	MIR3977	0	0.0	MIR3977	0	0.0
miRNA	MIR3978	SGI75460104	23314	MIR3978	0	0.0	MIR3978	0	0.0
miRNA	MIR409	SGI75460104	23313	MIR409	0	0.0	MIR409	0	0.0
miRNA	MIR410	SGI75460104	23312	MIR410	0	0.0	MIR410	0	0.0
miRNA	MIR411	SGI75460104	23311	MIR411	0	0.0	MIR411	0	0.0
miRNA	MIR412	SGI75460104	23310	MIR412	0	0.0	MIR412	0	0.0
miRNA	MIR421	SGI75460104	23309	MIR421	0	0.0	MIR421	0	0.0
miRNA	MIR422A	SGI75460104	23308	MIR422A	0	0.0	MIR422A	0	0.0
miRNA	MIR423	SGI75460104	23307	MIR423	11	0.4824826980607923	MIR423	16	0.9013337542561966
miRNA	MIR424	SGI75460104	23306	MIR424	17	0.7456550788212246	MIR424	5	0.2816667982050614
miRNA	MIR425	SGI75460104	23305	MIR425	21	0.9211033326615128	MIR425	20	1.1266671928202456
miRNA	MIR4251	SGI75460104	23304	MIR4251	0	0.0	MIR4251	0	0.0
