Gene type	Gene Name	fr	rf	star
protein_coding	VPS18	3	3	3
protein_coding	VPS25	27	27	31
protein_coding	VPS26A	10	10	9
protein_coding	VPS26B	24	24	24
protein_coding	VPS26C	54	54	52
protein_coding	VPS28	0	0	19
protein_coding	VPS29	98	98	98
protein_coding	VPS33A	26	26	30
protein_coding	VPS33B	0	0	0
protein_coding	VPS35	118	118	175
protein_coding	VPS35L	28	28	32
protein_coding	VPS36	40	40	42
protein_coding	VPS37A	27	27	28
protein_coding	VPS37B	48	48	50
protein_coding	VPS37C	23	23	25
protein_coding	VPS37D	0	0	0
protein_coding	VPS39	53	53	54
protein_coding	VPS41	97	97	101
protein_coding	VPS45	14	14	14
protein_coding	VPS4A	19	18	20
protein_coding	VPS4B	39	39	39
protein_coding	VPS50	70	70	97
protein_coding	VPS51	11	11	13
protein_coding	VPS52	0	0	6
protein_coding	VPS53	1	1	32
protein_coding	VPS54	21	21	22
protein_coding	VPS72	19	19	19
protein_coding	VPS8	6	6	7
protein_coding	VPS9D1	17	17	17
protein_coding	VRK1	99	99	102
protein_coding	VRK2	67	67	47
protein_coding	VRK3	21	21	24
protein_coding	VRTN	0	0	0
protein_coding	VSIG1	25	25	25
protein_coding	VSIG10	0	0	20
protein_coding	VSIG10L	1	1	2
protein_coding	VSIG10L2	0	0	2
protein_coding	VSIG2	0	0	0
protein_coding	VSIG4	2	2	17
protein_coding	VSIG8	2	2	2
protein_coding	VSIR	38	38	39
protein_coding	VSNL1	47	57	52
protein_coding	VSTM1	0	0	11
protein_coding	VSTM2A	0	0	0
protein_coding	VSTM2B	0	0	0
protein_coding	VSTM2L	0	0	0
protein_coding	VSTM4	0	0	0
protein_coding	VSTM5	0	0	0
protein_coding	VSX1	0	0	0
protein_coding	VSX2	36	36	175
protein_coding	VTA1	16	16	27
protein_coding	VTCN1	0	0	0
protein_coding	VTI1A	286	286	1118
protein_coding	VTI1B	86	86	91
protein_coding	VTN	0	0	0
protein_coding	VWA1	0	0	2
protein_coding	VWA2	3	3	3
protein_coding	VWA3A	0	0	0
protein_coding	VWA3B	0	0	0
protein_coding	VWA5A	0	0	0
protein_coding	VWA5B1	0	0	0
protein_coding	VWA5B2	26	26	26
protein_coding	VWA7	1	1	0
protein_coding	VWA8	70	70	117
protein_coding	VWC2	2	2	0
protein_coding	VWC2L	65	64	264
protein_coding	VWCE	6	6	6
protein_coding	VWDE	4	4	3
protein_coding	VWF	2	2	2
protein_coding	VXN	3	3	0
protein_coding	WAC	411	412	420
protein_coding	WAPL	705	704	143
protein_coding	WARS1	132	132	133
protein_coding	WARS2	14	14	14
protein_coding	WAS	26	26	27
protein_coding	WASF1	13	22	155
protein_coding	WASF2	749	743	766
protein_coding	WASF3	9	9	9
protein_coding	WASHC1	3	2	0
protein_coding	WASHC2A	36	25	19
protein_coding	WASHC2C	178	161	172
protein_coding	WASHC3	36	36	39
protein_coding	WASHC4	117	117	125
protein_coding	WASHC5	22	22	27
protein_coding	WASL	50	50	59
protein_coding	WBP1	1	1	5
protein_coding	WBP11	127	126	129
protein_coding	WBP1L	97	97	101
protein_coding	WBP2	170	170	180
protein_coding	WBP2NL	0	0	0
protein_coding	WBP4	31	31	77
protein_coding	WDCP	11	11	12
protein_coding	WDFY1	221	221	145
protein_coding	WDFY2	13	13	22
protein_coding	WDFY3	21	21	25
protein_coding	WDFY4	27	27	31
protein_coding	WDHD1	18	18	22
protein_coding	WDPCP	42	42	51
protein_coding	WDR1	209	209	230
protein_coding	WDR11	52	52	54
protein_coding	WDR12	6	19	14
protein_coding	WDR13	0	0	0
protein_coding	WDR17	0	0	0
protein_coding	WDR18	0	0	0
protein_coding	WDR19	2	2	2
protein_coding	WDR20	80	80	86
protein_coding	WDR24	22	22	22
protein_coding	WDR25	0	0	0
protein_coding	WDR26	473	475	517
protein_coding	WDR27	0	0	0
protein_coding	WDR3	73	73	59
protein_coding	WDR31	0	0	0
protein_coding	WDR33	27	27	27
protein_coding	WDR35	1	1	1
protein_coding	WDR36	11	11	11
protein_coding	WDR37	41	41	68
protein_coding	WDR38	0	0	0
protein_coding	WDR4	8	8	8
protein_coding	WDR41	43	43	43
protein_coding	WDR43	164	161	110
protein_coding	WDR44	123	123	125
protein_coding	WDR45	33	43	57
protein_coding	WDR45B	22	22	22
protein_coding	WDR46	2	2	3
protein_coding	WDR47	52	52	53
protein_coding	WDR48	118	118	120
protein_coding	WDR49	37	37	110
protein_coding	WDR5	0	0	0
protein_coding	WDR53	26	26	27
protein_coding	WDR54	0	0	0
protein_coding	WDR55	26	26	30
protein_coding	WDR59	10	10	4
protein_coding	WDR5B	8	8	8
protein_coding	WDR6	10	10	10
protein_coding	WDR61	29	29	29
protein_coding	WDR62	0	0	0
protein_coding	WDR64	0	0	1
protein_coding	WDR7	53	53	53
protein_coding	WDR70	20	20	22
protein_coding	WDR72	0	0	0
protein_coding	WDR73	2	2	0
protein_coding	WDR74	700	594	204
protein_coding	WDR75	18	18	20
protein_coding	WDR76	94	92	88
protein_coding	WDR77	38	38	38
protein_coding	WDR81	0	0	0
protein_coding	WDR82	205	205	211
protein_coding	WDR83	4	4	4
protein_coding	WDR83OS	97	97	98
protein_coding	WDR86	0	0	0
protein_coding	WDR87	0	0	3
protein_coding	WDR88	0	0	0
protein_coding	WDR89	11	11	11
protein_coding	WDR90	0	0	0
protein_coding	WDR91	6	6	6
protein_coding	WDR93	0	0	0
protein_coding	WDR97	1	1	1
protein_coding	WDSUB1	21	21	22
protein_coding	WDTC1	123	123	125
protein_coding	WEE1	11	11	11
protein_coding	WEE2	8	8	0
protein_coding	WFDC1	0	0	0
protein_coding	WFDC10A	0	0	0
protein_coding	WFDC10B	3	3	106
protein_coding	WFDC11	0	0	0
protein_coding	WFDC12	0	0	0
