Gene Name	fr	rf	star
ADPRS	34	34	35
ADRA1A	0	0	0
ADRA1B	0	0	0
ADRA1D	4	4	109
ADRA2A	0	0	0
ADRA2B	0	0	0
ADRA2C	0	0	0
ADRB1	1	1	35
ADRB2	19	19	19
ADRB3	0	0	0
ADRM1	62	62	64
ADSL	138	139	135
ADSS1	0	0	0
ADSS2	47	47	60
ADTRP	0	0	0
AEBP1	2	2	0
AEBP2	27	27	29
AEN	16	16	18
AFAP1	6	6	6
AFAP1-AS1	0	0	1
AFAP1L1	41	41	42
AFAP1L2	22	22	22
AFDN	51	51	52
AFDN-DT	2	2	3
AFF1	326	324	340
AFF1-AS1	1	1	1
AFF2	279	268	584
AFF3	43	43	46
AFF4	145	145	151
AFG1L	11	11	11
AFG3L1P	7	8	6
AFG3L2	18	18	20
AFG3L2P1	1	1	5
AFM	0	0	0
AFMID	6	6	6
AFP	2	2	3
AFTPH	304	301	326
AFTPH-DT	0	0	1
AGA	0	0	0
AGAP1	0	0	1
AGAP10P	8	11	8
AGAP11	6	6	4
AGAP12P	3	6	0
AGAP13P	7	15	0
AGAP14P	2	6	0
AGAP1-IT1	0	0	0
AGAP2	28	28	29
AGAP2-AS1	4	4	5
AGAP3	3	3	3
AGAP4	1	1	10
AGAP5	0	3	0
AGAP6	1	2	1
AGAP7P	41	13	24
AGAP9	1	1	1
AGBL1	2	2	9
AGBL1-AS1	0	1	2
AGBL2	4	4	0
AGBL3	2	2	2
AGBL4	0	0	0
AGBL4-AS1	6	10	4
AGBL4-IT1	5	5	10
AGBL5	3	3	3
AGBL5-AS1	0	0	0
AGER	0	0	0
AGFG1	82	82	153
AGFG2	0	0	0
AGGF1	290	285	149
AGGF1P1	0	0	0
AGGF1P10	1	1	0
AGGF1P2	0	0	0
AGGF1P3	0	0	0
AGGF1P4	0	0	0
AGGF1P5	0	0	0
AGGF1P6	0	0	0
AGGF1P7	0	0	0
AGGF1P8	0	0	0
AGGF1P9	0	0	0
AGK	0	0	0
AGKP1	0	0	0
AGKP2	0	0	0
AGL	65	65	67
AGMAT	1	1	7
AGMO	0	0	0
AGO1	63	63	65
AGO2	169	169	170
AGO3	2	2	2
AGO4	81	81	82
AGPAT1	7	7	41
AGPAT2	5	5	6
AGPAT3	38	38	58
AGPAT4	93	92	127
AGPAT4-IT1	0	0	0
AGPAT5	0	0	0
AGPAT5P1	0	0	0
AGPS	40	40	43
AGR2	0	0	0
AGR3	0	0	0
AGRN	5	5	5
AGRP	0	0	0
AGT	6	6	9
AGTPBP1	180	180	178
AGTR1	3	3	3
AGTR2	2	2	2
AGTRAP	45	45	46
AGXT	0	0	0
AGXT2	0	0	0
AHCTF1	104	116	163
AHCTF1P1	62	53	9
AHCY	40	40	54
AHCYL1	84	84	78
AHCYL2	6	6	6
AHCYP1	0	0	0
AHCYP2	0	0	0
AHCYP3	0	0	0
AHCYP4	0	0	1
AHCYP5	0	0	0
AHCYP6	17	17	20
AHCYP7	0	0	0
AHCYP8	0	0	0
AHDC1	9	9	13
