		Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
SGI75460068	44884	ACNATP	0	0.0	ACNATP	0	0.0
SGI75460068	44883	ACO1	33	2.3692073687518347	ACO1	47	4.159555228494547
SGI75460068	44882	ACO2	46	3.302531483714678	ACO2	60	5.310070504461123
SGI75460068	44881	ACOD1	0	0.0	ACOD1	0	0.0
SGI75460068	44880	ACOT1	0	0.0	ACOT1	0	0.0
SGI75460068	44879	ACOT11	34	2.4410015314412843	ACOT11	56	4.956065804163714
SGI75460068	44878	ACOT12	19	1.3640890910995414	ACOT12	0	0.0
SGI75460068	44877	ACOT13	129	9.26144698693899	ACOT13	92	8.14210810684039
SGI75460068	44876	ACOT2	1	0.0717941626894495	ACOT2	5	0.4425058753717602
SGI75460068	44875	ACOT4	11	0.7897357895839449	ACOT4	11	0.9735129258178726
SGI75460068	44874	ACOT6	30	2.1538248806834863	ACOT6	33	2.9205387774536176
SGI75460068	44873	ACOT7	64	4.594826412124771	ACOT7	51	4.513559928791954
SGI75460068	44872	ACOT8	0	0.0	ACOT8	0	0.0
SGI75460068	44871	ACOT9	33	2.3692073687518347	ACOT9	38	3.3630446528253777
SGI75460068	44870	ACOX1	105	7.538387082392202	ACOX1	95	8.407611632063444
SGI75460068	44869	ACOX2	0	0.0	ACOX2	0	0.0
SGI75460068	44868	ACOX3	3	0.2153824880683486	ACOX3	0	0.0
SGI75460068	44867	ACOXL	1	0.0717941626894495	ACOXL	0	0.0
SGI75460068	44866	ACOXL-AS1	7	0.5025591388261468	ACOXL-AS1	15	1.3275176261152808
SGI75460068	44865	ACP1	525	37.691935411961005	ACP1	516	45.66660633836566
SGI75460068	44864	ACP2	35	2.512795694130734	ACP2	0	0.0
SGI75460068	44863	ACP3	16	1.1487066030311928	ACP3	0	0.0
SGI75460068	44862	ACP4	0	0.0	ACP4	1	0.088501175074352
SGI75460068	44861	ACP5	46	3.302531483714678	ACP5	55	4.867564629089363
