Gene Name,TPM,count,cpm
ACTBP2,0.032197,4.0,0.4736196237660433
ACTBP3,0.0,0.0,0.0
ACTBP4,0.000398,1.0,0.11840490594151082
ACTBP6,0.0,0.0,0.0
ACTBP7,0.0,0.0,0.0
ACTBP8,0.002485,1.0,0.11840490594151082
ACTBP9,0.0,0.0,0.0
ACTC1,0.0,0.0,0.0
ACTE1P,0.00021,1.0,0.11840490594151082
ACTG1,6.720261,865.0,102.42024363940685
ACTG1P1,0.004293,1.0,0.11840490594151082
ACTG1P10,0.0,0.0,0.0
ACTG1P11,0.0,0.0,0.0
ACTG1P12,0.0,0.0,0.0
ACTG1P13,0.0,0.0,0.0
ACTG1P14,0.0,0.0,0.0
ACTG1P15,0.0,0.0,0.0
ACTG1P16,0.0,0.0,0.0
ACTG1P17,0.0,0.0,0.0
ACTG1P18,0.0,0.0,0.0
ACTG1P19,0.0,0.0,0.0
ACTG1P2,0.0,0.0,0.0
ACTG1P20,0.0,0.0,0.0
ACTG1P21,0.0,0.0,0.0
ACTG1P22,0.0,0.0,0.0
ACTG1P23,0.033738,3.0,0.35521471782453246
ACTG1P24,0.011004,1.0,0.11840490594151082
ACTG1P25,0.0,0.0,0.0
ACTG1P3,0.0,0.0,0.0
ACTG1P4,0.00067,1.0,0.11840490594151082
ACTG1P9,0.0,0.0,0.0
ACTG2,4.2e-05,1.0,0.11840490594151082
ACTL10,0.0,0.0,0.0
ACTL11P,0.0,0.0,0.0
ACTL6A,0.009865,17.0,2.012883401005684
ACTL6B,0.0,0.0,0.0
ACTL7A,0.0,0.0,0.0
ACTL7B,0.0,0.0,0.0
ACTL8,0.0,0.0,0.0
ACTL9,0.0,0.0,0.0
ACTN1,0.437207,109.0,12.906134747624678
ACTN1-DT,0.000694,1.0,0.11840490594151082
ACTN2,5.4e-05,1.0,0.11840490594151082
ACTN3,0.00017,1.0,0.11840490594151082
ACTN4,0.0,0.0,0.0
ACTN4P1,0.0,0.0,0.0
ACTP1,0.0,0.0,0.0
ACTR10,0.216376,35.0,4.144171707952879
ACTR1A,0.147387,28.0,3.3153373663623027
ACTR1AP1,0.0,0.0,0.0
ACTR1B,0.0,0.0,0.0
ACTR2,0.115942,131.0,15.511042678337915
ACTR3,1.7580200000000001,778.0,92.11901682249541
ACTR3-AS1,0.0019,8.0,0.9472392475320865
ACTR3B,0.12959,20.0,2.368098118830216
ACTR3BP1,0.0,0.0,0.0
ACTR3BP2,0.0,0.0,0.0
ACTR3BP3,0.0,0.0,0.0
ACTR3BP4,0.0,0.0,0.0
ACTR3BP5,0.0,0.0,0.0
ACTR3BP6,0.0,0.0,0.0
ACTR3BP7,0.0,0.0,0.0
ACTR3C,0.008561,5.0,0.592024529707554
ACTR3P1,0.0,0.0,0.0
ACTR3P2,0.014003,2.0,0.23680981188302164
ACTR3P3,0.0,0.0,0.0
ACTR5,0.025183,41.0,4.854601143601943
ACTR6,0.005299,9.0,1.0656441534735972
ACTR6P1,0.0,0.0,0.0
ACTR8,0.118159,29.0,3.433742272303814
ACTRT1,0.0,0.0,0.0
ACTRT1P1,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0
ACTRT3,0.0,0.0,0.0
ACVR1,0.038812,35.0,4.144171707952879
ACVR1B,0.0,0.0,0.0
ACVR1C,0.000303,3.0,0.35521471782453246
ACVR2A,0.273522,98.0,11.60368078226806
ACVR2B,0.146464,116.0,13.734969089215255
ACVR2B-AS1,0.0,0.0,0.0
ACVRL1,0.0,0.0,0.0
ACY1,0.000118,1.0,0.11840490594151082
ACY3,0.028718,3.0,0.35521471782453246
ACYP1,0.012178,14.0,1.6576686831811513
ACYP2,0.0063159999999999996,127.0,15.037423054571873
ADA,0.013189,29.0,3.433742272303814
ADA2,0.146992,43.0,5.091410955484966
ADAD1,0.0,0.0,0.0
ADAD1P1,0.0,0.0,0.0
ADAD1P2,0.0,0.0,0.0
ADAD2,0.0,0.0,0.0
ADAL,0.021531,7.0,0.8288343415905757
ADAM10,0.012973,80.0,9.472392475320865
ADAM11,0.002902,1.0,0.11840490594151082
ADAM12,0.0,0.0,0.0
ADAM15,0.0,0.0,0.0
ADAM17,0.124891,37.0,4.3809815198359
ADAM18,0.003195,32.0,3.788956990128346
ADAM19,0.087425,38.0,4.499386425777411
ADAM1A,0.000621,1.0,0.11840490594151082
ADAM1B,0.0,0.0,0.0
ADAM2,0.0,0.0,0.0
ADAM20,0.0,0.0,0.0
ADAM20P1,0.000291,1.0,0.11840490594151082
ADAM20P2,0.0,0.0,0.0
ADAM20P3,0.0,0.0,0.0
ADAM21,0.0,0.0,0.0
ADAM21P1,0.0,0.0,0.0
ADAM22,0.065457,42.0,4.9730060495434545
ADAM23,0.0,0.0,0.0
ADAM24P,0.0,0.0,0.0
ADAM28,0.043477,21.0,2.4865030247717272
ADAM29,0.0,0.0,0.0
ADAM30,0.0,0.0,0.0
ADAM32,0.0,0.0,0.0
ADAM33,0.0,0.0,0.0
ADAM3A,0.000381,2.0,0.23680981188302164
ADAM3B,0.0,0.0,0.0
ADAM5,0.000221,2.0,0.23680981188302164
ADAM6,0.0,0.0,0.0
ADAM7,0.002072,10.0,1.184049059415108
ADAM7-AS1,0.0,0.0,0.0
ADAM7-AS2,0.000415,1.0,0.11840490594151082
ADAM8,0.031566,7.0,0.8288343415905757
ADAM9,0.044813,13.0,1.5392637772396407
ADAMDEC1,0.0,0.0,0.0
ADAMTS1,0.012296,8.0,0.9472392475320865
ADAMTS10,0.0,0.0,0.0
ADAMTS12,0.0,0.0,0.0
ADAMTS13,0.0,0.0,0.0
ADAMTS14,0.0,0.0,0.0
ADAMTS15,0.0,0.0,0.0
ADAMTS16,0.0,0.0,0.0
ADAMTS16-DT,0.0,0.0,0.0
ADAMTS17,0.0,0.0,0.0
ADAMTS18,0.0,0.0,0.0
ADAMTS19,0.0,0.0,0.0
ADAMTS19-AS1,0.0,0.0,0.0
ADAMTS2,0.0,0.0,0.0
ADAMTS20,0.0,0.0,0.0
ADAMTS3,0.0,0.0,0.0
ADAMTS4,0.0,0.0,0.0
ADAMTS5,0.137222,89.0,10.538036628794464
ADAMTS6,0.016476,9.0,1.0656441534735972
ADAMTS7,0.0,0.0,0.0
ADAMTS7P1,0.001056,3.0,0.35521471782453246
ADAMTS7P3,0.0,0.0,0.0
ADAMTS7P4,0.001204,2.0,0.23680981188302164
ADAMTS8,0.0,0.0,0.0
ADAMTS9,0.031143,16.0,1.894478495064173
ADAMTS9-AS1,0.000479,1.0,0.11840490594151082
ADAMTS9-AS2,0.004216,92.0,10.893251346618994
ADAMTSL1,0.0,0.0,0.0
ADAMTSL2,0.0,0.0,0.0
ADAMTSL3,0.0,0.0,0.0
ADAMTSL4,0.0,0.0,0.0
ADAMTSL4-AS1,0.0,0.0,0.0
ADAMTSL5,0.0,0.0,0.0
ADAP1,0.017582,68.0,8.051533604022737
ADAP2,0.0,0.0,0.0
ADAR,0.426834,190.0,22.496932128887057
ADARB1,0.085404,29.0,3.433742272303814
ADARB2,0.000968,37.0,4.3809815198359
ADARB2-AS1,0.000125,1.0,0.11840490594151082
ADAT1,0.017989,32.0,3.788956990128346
ADAT2,0.0,0.0,0.0
ADAT3,0.0,0.0,0.0
ADCK1,0.0,0.0,0.0
ADCK2,0.150044,26.0,3.0785275544792814
ADCK5,0.0,0.0,0.0
ADCY1,0.0,0.0,0.0
ADCY10,0.0,0.0,0.0
ADCY10P1,0.005117,14.0,1.6576686831811513
ADCY2,0.0,0.0,0.0
ADCY3,0.023428,8.0,0.9472392475320865
ADCY4,0.000723,1.0,0.11840490594151082
ADCY5,0.0,0.0,0.0
ADCY6,0.0,0.0,0.0
ADCY6-DT,0.0,0.0,0.0
ADCY7,0.029321,13.0,1.5392637772396407
ADCY8,0.0,0.0,0.0
ADCY9,0.004157,3.0,0.35521471782453246
ADCYAP1,0.0,0.0,0.0
ADCYAP1R1,0.0,0.0,0.0
ADD1,0.502114,140.0,16.576686831811514
ADD2,0.008441,6.0,0.7104294356490649
ADD3,1.435436,428.0,50.67729974296663
ADD3-AS1,0.000895,4.0,0.4736196237660433
ADGB,0.000122,2.0,0.23680981188302164
ADGB-DT,0.0,0.0,0.0
ADGRA1,0.0,0.0,0.0
ADGRA1-AS1,0.0,0.0,0.0
ADGRA2,0.0,0.0,0.0
ADGRA3,0.0,0.0,0.0
